1,0.5096,0.4977,0.4704,0.5353,0.4655,0.5428
2,0.4761,0.4811,0.4579,0.5556,0.4524,0.5488
3,0.4643,0.5148,0.4617,0.5565,0.4562,0.5517
4,0.4606,0.5289,0.4533,0.5596,0.4467,0.5535
5,0.4592,0.5378,0.4709,0.5565,0.4651,0.5526
6,0.4618,0.5406,0.4551,0.5603,0.4489,0.5549
7,0.4588,0.5454,0.4589,0.5590,0.4527,0.5557
8,0.4549,0.5539,0.4661,0.5609,0.4605,0.5594
9,0.4524,0.5644,0.4573,0.5623,0.4516,0.5592
10,0.4552,0.5518,0.4548,0.5640,0.4496,0.5569
11,0.4527,0.5679,0.4543,0.5600,0.4478,0.5584
12,0.4495,0.5749,0.4575,0.5577,0.4514,0.5534
13,0.4529,0.5645,0.4623,0.5574,0.4567,0.5533
14,0.4508,0.5770,0.4572,0.5569,0.4521,0.5527
15,0.4457,0.5903,0.4571,0.5540,0.4524,0.5459
16,0.4477,0.5819,0.4619,0.5561,0.4562,0.5528
17,0.4465,0.5837,0.4650,0.5534,0.4586,0.5550
18,0.4476,0.5843,0.4577,0.5547,0.4515,0.5545
19,0.4434,0.5968,0.4593,0.5542,0.4526,0.5577
20,0.4461,0.5852,0.4582,0.5546,0.4513,0.5565
21,0.4456,0.5990,0.4593,0.5530,0.4529,0.5550
22,0.4438,0.6000,0.4571,0.5549,0.4508,0.5580
23,0.4390,0.6103,0.4581,0.5558,0.4518,0.5544
24,0.4439,0.5982,0.4612,0.5552,0.4530,0.5637
25,0.4436,0.6041,0.4655,0.5563,0.4568,0.5675
26,0.4403,0.6146,0.4608,0.5521,0.4514,0.5643
27,0.4453,0.5917,0.4608,0.5550,0.4513,0.5682
28,0.4398,0.6159,0.4630,0.5572,0.4529,0.5724
29,0.4384,0.6195,0.4646,0.5557,0.4548,0.5730
30,0.4397,0.6167,0.4610,0.5583,0.4491,0.5784
31,0.4322,0.6409,0.4752,0.5621,0.4611,0.5880
32,0.4369,0.6224,0.4570,0.5689,0.4433,0.5930
33,0.4291,0.6473,0.4455,0.6014,0.4249,0.6464
34,0.4198,0.6722,0.4367,0.6372,0.4108,0.6840
35,0.4136,0.6847,0.4430,0.6414,0.4157,0.6904
36,0.4088,0.7026,0.4273,0.6468,0.4042,0.6937
37,0.4048,0.7014,0.4227,0.6628,0.4012,0.7046
38,0.3980,0.7182,0.4189,0.6725,0.3971,0.7109
39,0.3978,0.7190,0.4098,0.6854,0.3905,0.7317
40,0.3915,0.7261,0.4045,0.6964,0.3838,0.7363
41,0.3842,0.7423,0.4030,0.7004,0.3860,0.7364
42,0.3827,0.7455,0.4072,0.7020,0.3805,0.7468
43,0.3775,0.7509,0.4030,0.7088,0.3812,0.7484
44,0.3704,0.7747,0.4045,0.7155,0.3777,0.7563
45,0.3628,0.7805,0.3980,0.7217,0.3748,0.7611
46,0.3574,0.7909,0.4043,0.7195,0.3784,0.7555
47,0.3559,0.7882,0.4064,0.7239,0.3812,0.7592
48,0.3447,0.8056,0.4025,0.7294,0.3764,0.7696
49,0.3397,0.8118,0.3958,0.7355,0.3734,0.7683
50,0.3390,0.8149,0.4045,0.7327,0.3792,0.7647
51,0.3333,0.8170,0.4109,0.7395,0.3870,0.7606
52,0.3334,0.8206,0.3931,0.7490,0.3732,0.7707
53,0.3202,0.8388,0.3997,0.7443,0.3772,0.7718
54,0.3221,0.8300,0.4048,0.7487,0.3807,0.7762
55,0.3239,0.8354,0.3992,0.7480,0.3746,0.7744
56,0.3144,0.8418,0.4287,0.7454,0.3929,0.7747
57,0.3176,0.8405,0.4020,0.7483,0.3794,0.7759
58,0.3148,0.8391,0.4007,0.7572,0.3852,0.7754
59,0.3105,0.8467,0.4080,0.7532,0.3905,0.7730
60,0.3054,0.8514,0.3977,0.7590,0.3857,0.7797
61,0.2970,0.8641,0.4132,0.7533,0.3937,0.7802
62,0.2979,0.8612,0.4090,0.7553,0.3906,0.7812
63,0.3004,0.8580,0.4027,0.7599,0.3827,0.7865
64,0.3012,0.8561,0.4085,0.7618,0.3898,0.7828
65,0.2905,0.8673,0.3997,0.7642,0.3862,0.7889
66,0.2866,0.8724,0.4080,0.7638,0.3963,0.7866
67,0.2866,0.8720,0.3976,0.7702,0.3880,0.7919
68,0.2829,0.8794,0.4153,0.7685,0.4072,0.7883
69,0.2792,0.8810,0.4069,0.7706,0.3979,0.7884
70,0.2828,0.8803,0.4194,0.7694,0.4129,0.7860
71,0.2739,0.8873,0.4128,0.7698,0.4080,0.7852
72,0.2738,0.8850,0.4178,0.7745,0.4079,0.7908
73,0.2744,0.8845,0.4328,0.7719,0.4158,0.7920
74,0.2750,0.8860,0.4243,0.7719,0.4121,0.7879
75,0.2697,0.8929,0.4214,0.7728,0.4106,0.7904
76,0.2635,0.8952,0.4271,0.7742,0.4232,0.7878
77,0.2625,0.8980,0.4359,0.7743,0.4299,0.7874
78,0.2572,0.9007,0.4274,0.7815,0.4338,0.7920
79,0.2550,0.9019,0.4378,0.7760,0.4344,0.7925
80,0.2564,0.9030,0.4228,0.7768,0.4184,0.7921
81,0.2624,0.8966,0.4228,0.7761,0.4139,0.7934
82,0.2582,0.9042,0.4327,0.7811,0.4264,0.7935
83,0.2577,0.9050,0.4401,0.7725,0.4329,0.7905
84,0.2460,0.9110,0.4685,0.7765,0.4489,0.7957
85,0.2503,0.9116,0.4677,0.7743,0.4576,0.7901
86,0.2437,0.9152,0.4399,0.7761,0.4359,0.7907
87,0.2433,0.9170,0.4624,0.7737,0.4525,0.7924
